date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-15 14:00:00+00:00,17:00,38919.37,12149.59,3021.75,3599.69,270.0,9205.5,8.5,1112.24,6681.23,0.0,986.04,1520.38,255.25,109.2
2025-02-15 15:00:00+00:00,18:00,40833.88,13234.72,2887.4,3558.7,270.0,9204.5,7.5,1117.65,7746.93,0.0,952.58,1736.75,8.05,109.1
2025-02-15 16:00:00+00:00,19:00,41033.34,13304.53,2771.71,3583.5,260.0,9204.5,7.5,1125.97,7925.93,0.0,936.14,1804.56,0.0,109.0
2025-02-15 17:00:00+00:00,20:00,40486.7,13306.61,2780.42,3560.25,270.0,9204.5,7.5,1136.74,7597.08,0.0,935.34,1579.26,0.0,109.0
2025-02-15 18:00:00+00:00,21:00,39427.77,13106.1,2759.16,3504.25,270.0,9204.5,7.5,1143.4,6940.13,0.0,949.74,1433.99,0.0,109.0
2025-02-15 19:00:00+00:00,22:00,38595.71,12555.85,2643.04,3390.25,270.0,9204.5,7.5,1150.04,7213.83,0.0,939.47,1112.23,0.0,109.0
2025-02-15 20:00:00+00:00,23:00,36764.44,11574.27,2456.81,3416.25,270.0,9204.5,7.5,1152.43,6638.23,0.0,943.55,991.9,0.0,109.0
2025-02-15 21:00:00+00:00,00:00,34318.46,10884.68,2309.27,3397.25,269.0,9210.5,7.5,1153.77,5073.63,0.0,943.09,944.37,0.0,125.4
2025-02-15 22:00:00+00:00,01:00,32313.41,10556.93,2187.2,3397.25,269.0,9210.5,7.5,1155.77,3680.63,0.0,940.32,783.81,0.0,124.5
2025-02-15 23:00:00+00:00,02:00,30595.14,9816.73,2071.62,3397.25,269.0,9210.5,7.5,1157.52,2895.63,0.0,943.64,702.15,0.0,123.6
2025-02-16 00:00:00+00:00,03:00,29326.39,9052.19,1969.25,3393.95,269.0,9142.5,7.5,1159.98,2626.43,0.0,943.99,638.0,0.0,123.6
2025-02-16 01:00:00+00:00,04:00,28797.37,9019.51,1860.93,3389.25,269.0,9142.5,7.5,1162.17,2275.43,0.0,939.62,607.86,0.0,123.6
2025-02-16 02:00:00+00:00,05:00,28771.48,9189.54,1751.57,3397.25,269.0,9142.5,7.5,1164.62,2182.23,0.0,938.02,606.93,0.02,122.3
2025-02-16 03:00:00+00:00,06:00,28765.08,9070.24,1668.14,3354.25,269.0,9141.5,7.5,1164.18,2262.43,0.0,932.62,772.78,0.14,122.3
2025-02-16 04:00:00+00:00,07:00,28519.36,8255.32,1613.57,3409.5,269.0,8992.5,7.5,1164.91,2732.43,0.0,925.75,998.28,28.3,122.3
2025-02-16 05:00:00+00:00,08:00,27905.0,7485.78,1669.81,3419.0,269.0,8728.5,11.5,1162.86,2441.73,0.0,965.31,1082.73,546.28,122.5
2025-02-16 06:00:00+00:00,09:00,26733.0,6167.76,1724.35,3385.4,269.0,8741.5,16.7,1161.81,1910.83,0.0,983.06,894.36,1355.13,123.1
2025-02-16 07:00:00+00:00,10:00,26094.25,5123.78,1785.04,3405.4,269.0,8749.5,20.4,1156.33,2002.43,0.0,983.24,811.26,1664.37,123.5
2025-02-16 08:00:00+00:00,11:00,25436.98,4126.87,1747.28,3397.5,269.0,8516.5,22.5,1149.04,2489.73,0.0,988.1,806.2,1800.26,124.0
2025-02-16 09:00:00+00:00,12:00,25040.36,4166.19,1792.52,3466.79,269.0,7837.1,15.8,1141.09,2762.93,0.0,957.87,741.4,1764.67,125.0
2025-02-16 10:00:00+00:00,13:00,25480.91,4166.8,1839.53,3473.3,269.0,8375.2,20.8,1133.16,2720.93,0.0,943.83,655.93,1757.43,125.0
2025-02-16 11:00:00+00:00,14:00,26368.58,4677.43,1811.03,3468.3,269.0,8758.3,20.3,1121.65,2732.63,0.0,965.73,719.19,1700.92,124.1
2025-02-16 12:00:00+00:00,15:00,27920.13,6120.93,1762.07,3548.6,269.0,8890.5,17.1,1111.94,2827.73,0.0,946.76,669.8,1632.0,123.7
