date,price,lep,planned_total_gen,ruzgar,gunes,planned_gas_gen,price_independent_sales,gas_price,temperature,wind_speed,solar_radiation,precipitation,cloud_cover,sfk_price,pfk_price,hour,day_of_week,month,is_weekend,is_holiday,price_lag_24,price_lag_48,price_lag_168,smp_lag_24,sfk_lag_24,pfk_lag_24,gen_deviation_lag_24,price_volatility_24h,price_momentum_24h,price_rolling_24h_mean,price_rolling_168h_mean,demand_supply_ratio,pi_offer_ratio,gas_price_lag_24,elec_gas_ratio
2025-08-25 12:00:00+00:00,2995.0,50289,50591.44,8859.42,12637.22,8859.7,18345.5,14305.26,29.23333333333333,13.433333333333332,608.3333333333334,0.0,22.33333333333333,1144.01,787.96,12,0,8,0,0,1000.01,2500.01,3209.78,2000.0,2999.0,1100.48,-9448.580000000002,1084.6540905183879,-1500.0000000000002,2485.765,3066.3026785714283,0.9940022659511975,0.3626134655691641,14298.87,0.06993140497081442
2025-08-25 13:00:00+00:00,3230.0,50164,50628.04,8988.43,9591.76,10938.33,16796.6,14305.26,29.133333333333336,14.433333333333335,469.0,0.0,32.333333333333336,1144.01,787.96,13,0,8,0,0,1811.97,3096.0,3359.99,1859.97,2999.0,1100.48,-6345.330000000002,1084.9129227041922,-1284.03,2432.26375,3059.5286904761906,0.9908147576963734,0.33175821623321317,14298.87,0.12671234074155918
2025-08-25 14:00:00+00:00,3230.01,49569,50270.75,9026.59,5490.45,12957.46,14882.8,14305.26,28.633333333333336,16.233333333333334,367.0,0.0,14.333333333333334,1144.01,787.96,14,0,8,0,0,2413.64,3170.0,3400.0,3000.0,2999.0,1100.48,-2664.3099999999977,1073.4763627268,-756.3600000000001,2400.74875,3054.7883928571428,0.9860209759954647,0.2960469846384898,14298.87,0.16878754841827232
2025-08-25 15:00:00+00:00,3239.06,48120,49067.09,9074.2,1695.88,14149.92,13523.7,14305.26,27.83333333333333,17.133333333333333,249.66666666666663,0.0,11.333333333333334,747.72,747.72,15,0,8,0,0,3290.0,3315.24,3400.0,3320.91,877.71,993.97,162.62000000000262,1072.5534652913686,-25.23999999999978,2399.6970833333335,3054.133630952381,0.9806780740803239,0.27561089090690105,14298.87,0.23007202163376309
2025-08-25 16:00:00+00:00,3400.0,48485,49163.29,9023.49,130.21,14386.17,12744.1,14305.26,26.766666666666666,15.9,94.33333333333331,0.0,4.333333333333333,747.72,747.72,16,0,8,0,0,3400.0,3400.0,3400.0,3400.0,877.71,993.97,1778.1199999999953,1072.5534652913686,0.0,2399.6970833333335,3054.133630952381,0.9861832643164378,0.25921456406672405,14298.87,0.23776439925677645
2025-08-25 17:00:00+00:00,3400.0,49102,49399.41,8962.94,23.27,14438.96,12702.5,14305.26,25.46666666666667,12.866666666666667,7.0,0.0,5.0,747.72,747.72,17,0,8,0,0,3400.0,3400.0,3400.0,3400.0,877.71,993.97,1750.4700000000012,1072.5534652913686,0.0,2399.6970833333335,3054.133630952381,0.9939593618757414,0.25713349342647157,14298.87,0.23776439925677645
2025-08-25 18:00:00+00:00,3339.06,47757,48274.72,8803.55,21.31,14089.1,12299.1,14305.26,23.9,13.5,0.0,0.0,1.3333333333333333,747.71,747.72,18,0,8,0,0,3400.0,3400.0,3400.0,3400.0,697.71,966.97,983.1300000000047,1072.5534652913686,0.0,2399.6970833333335,3054.133630952381,0.9892550540934448,0.25476782117387375,14298.87,0.23776439925677645
2025-08-25 19:00:00+00:00,3129.99,46080,46450.33,8540.03,20.45,13853.74,12040.3,14305.26,22.866666666666664,12.7,0.0,0.0,0.0,747.71,747.72,19,0,8,0,0,3290.0,3400.0,3400.0,2287.0,697.71,966.97,656.3800000000047,1068.3197029541845,-110.0,2395.11375,3053.478869047619,0.9920060415923505,0.25920248139289015,14298.87,0.23007202163376309
2025-08-25 20:00:00+00:00,3199.0,43650,44632.38,8158.34,19.77,12656.25,11981.3,14305.26,21.866666666666664,11.766666666666666,0.0,0.0,0.0,747.71,747.72,20,0,8,0,0,2996.0,3266.13,3400.0,2001.0,697.71,966.97,369.66999999999825,1060.13566132571,-270.1300000000001,2383.8583333333336,3051.0741071428574,0.9779676107881591,0.2684381061886866,14298.87,0.2095123941686183
2025-08-25 21:00:00+00:00,3242.44,42392,42188.42,7850.17,19.38,12375.82,13154.6,14494.06,21.066666666666663,11.0,0.0,0.0,0.3333333333333333,600.0,700.0,21,0,8,0,0,3349.99,3400.0,3400.0,1811.0,597.72,700.0,708.6699999999983,1058.0987373133826,-50.01000000000022,2381.7745833333333,3050.7764285714284,1.004801677766606,0.3117985504422673,14305.26,0.23416252745301705
